model,freeze,head_type,subset_ratio,pct_data,seed,n_train,f1,auroc,clip_f1,clip_auroc,run_id
resnet50_1M,finetune,linear,1.0,100,256,8199,0.714,0.936,0.714,0.936,d2bd421939d344f79cfccf24726b01dd
resnet50_5M,finetune,linear,1.0,100,256,8199,0.732,0.942,0.732,0.942,85a19589dd8b49a08a048e0554478b1c
efficientnetb0,finetune,linear,1.0,100,364,8199,0.696,0.923,0.696,0.923,7a4a03dd43bb448e95bda790715b5e23
vits16_imagenet,finetune,linear,1.0,100,364,8199,0.713,0.934,0.713,0.934,9154180330654fd4b9fa14b35aa118f8
resnet50_imagenet,finetune,linear,1.0,100,364,8199,0.713,0.929,0.713,0.929,3055724d0ad54564a28a80eb80295d10
vits16_gastronet,finetune,linear,1.0,100,364,8199,0.744,0.942,0.744,0.942,de0646222c9c47d7a9e9b9c67024c7c3
resnet50_200K,finetune,linear,1.0,100,364,8199,0.72,0.938,0.72,0.938,8adb61d9a2f24e32a261db009e818846
resnet50_1M,finetune,linear,1.0,100,364,8199,0.716,0.935,0.716,0.935,33f3e135ed164f5b954cf553a3ff5adc
resnet50_5M,finetune,linear,1.0,100,364,8199,0.725,0.938,0.725,0.938,69d6888abef54ed29004c82fead8b6d6
efficientnetb0,finetune,linear,1.0,100,420,8199,0.675,0.923,0.675,0.923,4625aa26081e4655b2c969adbbf1751a
vits16_imagenet,finetune,linear,1.0,100,420,8199,0.701,0.936,0.701,0.936,89c540816b3a449fbebde1e741cd2c08
resnet50_imagenet,finetune,linear,1.0,100,420,8199,0.699,0.927,0.699,0.927,a517539557614e5bbb2903c7e294c8e7
vits16_gastronet,finetune,linear,1.0,100,420,8199,0.731,0.942,0.731,0.942,ffe3ef22d7c74a47a624cef17ab88098
resnet50_200K,finetune,linear,1.0,100,420,8199,0.703,0.934,0.703,0.934,3bc40f70dbf742f3ad41017660f8a844
resnet50_1M,finetune,linear,1.0,100,420,8199,0.712,0.931,0.712,0.931,d98c5e18740b4123a8c5108301d04381
resnet50_5M,finetune,linear,1.0,100,420,8199,0.731,0.942,0.731,0.942,d50e493804d44d9abd978ea67706ceb2
